,open,high,low,close,volume,movement,000001.SS,AAPL,CL=F,GC=F,HG=F,NVDA,^DJI,^GSPC,^N100,^N225
2017-10-14,5643.52978515625,5837.7001953125,5591.64013671875,5831.7900390625,1669030016,-2.633841352782007,3390.52294921875,36.79977035522461,51.45000076293945,1301.5,3.118499994277954,4.8088274002075195,22871.720703125,2553.169921875,1048.1800537109375,21155.1796875
2017-10-15,5835.9599609375,5852.47998046875,5478.60986328125,5678.18994140625,1976039936,0.8347713414463831,3390.52294921875,36.79977035522461,51.45000076293945,1301.5,3.118499994277954,4.8088274002075195,22871.720703125,2553.169921875,1048.1800537109375,21155.1796875
2017-10-16,5687.56982421875,5776.22998046875,5544.2099609375,5725.58984375,2008070016,-2.097252534707461,3378.469970703125,37.47720718383789,51.869998931884766,1299.9000244140625,3.2239999771118164,4.891366004943848,22956.9609375,2557.639892578125,1049.3900146484375,21255.560546875
2017-10-17,5741.580078125,5800.35009765625,5472.72021484375,5605.509765625,1821570048,-0.2643795986161823,3372.041015625,37.615509033203125,51.880001068115234,1283.0,3.180500030517578,4.8869171142578125,22997.439453125,2559.360107421875,1049.9300537109375,21336.119140625
2017-10-18,5603.81982421875,5603.81982421875,5151.43994140625,5590.68994140625,2399269888,2.1076124657229967,3381.7939453125,37.449073791503906,52.040000915527344,1279.9000244140625,3.1635000705718994,4.882717609405518,23157.599609375,2561.260009765625,1053.989990234375,21363.05078125
2017-10-19,5583.740234375,5744.35009765625,5531.06005859375,5708.52001953125,1780540032,5.306632450176196,3370.172119140625,36.56302261352539,51.290000915527344,1286.9000244140625,3.1530001163482666,4.888154029846191,23163.0390625,2562.10009765625,1048.7900390625,21448.51953125
2017-10-20,5708.10986328125,6060.10986328125,5627.22998046875,6011.4501953125,2354429952,0.3351920366813088,3378.64794921875,36.626304626464844,51.470001220703125,1277.4000244140625,3.1514999866485596,4.865913391113281,23328.630859375,2575.2099609375,1049.5899658203125,21457.640625
2017-10-21,5996.7900390625,6194.8798828125,5965.06982421875,6031.60009765625,2207099904,-0.384312212446869,3378.64794921875,36.626304626464844,51.470001220703125,1277.4000244140625,3.1514999866485596,4.865913391113281,23328.630859375,2575.2099609375,1049.5899658203125,21457.640625
2017-10-22,6036.66015625,6076.259765625,5792.33984375,6008.419921875,2034630016,-1.2998441965067942,3378.64794921875,36.626304626464844,51.470001220703125,1277.4000244140625,3.1514999866485596,4.865913391113281,23328.630859375,2575.2099609375,1049.5899658203125,21457.640625
2017-10-23,6006.0,6075.58984375,5732.47021484375,5930.31982421875,2401840128,-6.807047502757236,3380.698974609375,36.607547760009766,51.900001525878906,1277.699951171875,3.1740000247955322,4.858994007110596,23273.9609375,2564.97998046875,1052.0899658203125,21696.650390625
2017-10-24,5935.52001953125,5935.52001953125,5504.18017578125,5526.64013671875,2735699968,4.05598451180933,3388.248046875,36.82555389404297,52.470001220703125,1275.0,3.186500072479248,4.909902095794678,23441.759765625,2569.1298828125,1050.8199462890625,21805.169921875
2017-10-25,5524.60009765625,5754.330078125,5397.8798828125,5750.7998046875,1966989952,2.6784148060926993,3396.89794921875,36.663822174072266,52.18000030517578,1275.4000244140625,3.1714999675750732,4.785844326019287,23329.4609375,2557.14990234375,1045.6600341796875,21707.619140625
2017-10-26,5747.9501953125,5976.7998046875,5721.22021484375,5904.830078125,1905040000,-2.098793261475229,3407.56689453125,36.89822006225586,52.63999938964844,1266.300048828125,3.1675000190734863,4.836009502410889,23400.859375,2560.39990234375,1057.9200439453125,21739.779296875
2017-10-27,5899.740234375,5988.39013671875,5728.81982421875,5780.89990234375,1710130048,-0.4810679835932641,3416.81201171875,38.22028732299805,53.900001525878906,1268.5,3.0934998989105225,4.988487243652344,23434.189453125,2581.070068359375,1064.260009765625,22008.44921875
2017-10-28,5787.81982421875,5876.72021484375,5689.18994140625,5753.08984375,1403920000,6.966000267519279,3416.81201171875,38.22028732299805,53.900001525878906,1268.5,3.0934998989105225,4.988487243652344,23434.189453125,2581.070068359375,1064.260009765625,22008.44921875
2017-10-29,5754.43994140625,6255.7099609375,5724.580078125,6153.85009765625,2859040000,-0.37895483526454443,3416.81201171875,38.22028732299805,53.900001525878906,1268.5,3.0934998989105225,4.988487243652344,23434.189453125,2581.070068359375,1064.260009765625,22008.44921875
2017-10-30,6114.85009765625,6214.990234375,6040.85009765625,6130.52978515625,1772150016,5.51127111404921,3390.3369140625,39.08056640625,54.150001525878906,1274.0999755859375,3.1019999980926514,5.037418842315674,23348.740234375,2572.830078125,1064.199951171875,22011.669921875
2017-10-31,6132.02001953125,6470.43017578125,6103.330078125,6468.39990234375,2311379968,4.621083432731066,3393.342041015625,39.624385833740234,54.380001068115234,1267.0,3.0920000076293945,5.110814571380615,23377.240234375,2575.260009765625,1068.22998046875,22011.609375
2017-11-01,6440.97021484375,6767.31005859375,6377.8798828125,6767.31005859375,2870320128,4.598428898807039,3395.9130859375,39.12040710449219,54.29999923706055,1274.0999755859375,3.132999897003174,5.120452404022217,23435.009765625,2579.360107421875,1071.1500244140625,22420.080078125
