,open,high,low,close,volume,000001.SS,AAPL,CL=F,GC=F,HG=F,NVDA,^DJI,^GSPC,^N100,^N225,open_ch,high_ch,low_ch,close_ch,volume_ch,000001.SS_ch,AAPL_ch,CL=F_ch,GC=F_ch,HG=F_ch,NVDA_ch,^DJI_ch,^GSPC_ch,^N100_ch,^N225_ch
2021-03-11,1.6303953369744022,1.6695733397157269,1.6207735015950322,1.709578637178582,1.876799992216111,0.7470838100315089,0.40732307715600385,0.19983332409206564,0.32712511768585606,1.1955118364976327,-0.22954820171639742,0.6810423506863983,0.5632246217890748,0.354501788516777,0.7237437327747033,0.5182152120448943,0.3906353515845281,0.5692063218378813,0.8287513345266461,-0.1715905337009938,2.1762715183417325,1.065278283053934,0.4270970652467835,0.02980271823664263,2.163271993799021,1.599811695295101,0.6099140290075918,1.0861655349397574,0.9247204816421947,0.5376724364068481
2021-03-12,1.7138740157215007,1.6654211292524779,1.6617667577827449,1.688356741995197,1.8235717194735004,0.7935668005391164,0.39353547943797085,0.17714956316716352,0.320028791449031,1.1987615340713633,-0.2337952939915534,0.7205419860346589,0.5668771187900579,0.3350280461569747,0.8032108118168497,0.8625593201232583,-0.11065159453797412,0.40016617073205435,-0.2845074690738754,-0.19712959362066138,0.42606401618974044,-0.5655313259995923,-0.09209080724338442,-0.24134975127816513,0.04039856511989079,-0.4933049258576674,0.9592542707029166,0.07384875744939062,-0.37144434349415034,1.5977078373830729
2021-03-13,1.6924050962616075,1.8275344034972798,1.7004287588006433,1.8638181922993573,2.068463583907809,0.7935668005391164,0.39353547943797085,0.17714956316716352,0.320028791449031,1.1987615340713633,-0.2337952939915534,0.7205419860346589,0.5668771187900579,0.3350280461569747,0.8032108118168497,-0.28683723394744126,1.9106314002149183,0.3670758054377039,1.8280817683619834,0.08179383644972794,-0.013496175326321913,-0.05013319442247785,0.012834432916343235,-0.030477207921904156,-0.012136516650380635,-0.07307922136197087,-0.031023819783486613,-0.03573495620949971,-0.02001484435230962,-0.028023770006992858
2021-03-14,1.8666266351466798,1.8237557322555042,1.8421659138051905,1.776748241704562,1.2438472189944543,0.7935668005391164,0.39353547943797085,0.17714956316716352,0.320028791449031,1.1987615340713633,-0.2337952939915534,0.7205419860346589,0.5668771187900579,0.3350280461569747,0.8032108118168497,1.8167308864917375,-0.10344630508274164,1.4797126393461644,-0.9345015562347473,-0.8587201841727945,-0.013496175326321913,-0.05013319442247785,0.012834432916343235,-0.030477207921904156,-0.012136516650380635,-0.07307922136197087,-0.031023819783486613,-0.03573495620949971,-0.02001484435230962,-0.028023770006992858
2021-03-15,1.778849925372002,1.7772869378776783,1.662525712649764,1.6244309876363938,2.351204160685079,0.6987983465897046,0.437419041940471,0.16497760369582096,0.34385181882137,1.2000612891375686,-0.22344008575944999,0.7441056106247879,0.5902529658379139,0.3346229992313261,0.8109254370563668,-0.9423473016906243,-0.5921664898848822,-1.9078204742274174,-1.6413198032721679,1.1706382183358124,-0.9054440999313244,1.602895715827414,-0.043819604399565754,0.6785943193869989,0.008862840170917265,0.9624682525089128,0.5544480012254532,0.6648853892869752,-0.027348313859599137,0.12711319361549567
2021-03-16,1.6248963493799902,1.6142692693614833,1.5780564413420444,1.6647052012841115,2.023219937817222,0.7754107790965566,0.4608437747632586,0.13233500521344263,0.34816010372737866,1.1123213140961463,-0.2203512806423245,0.7269186016983102,0.5845642195933409,0.35981247236967845,0.8351207217552958,-1.6604039338172372,-1.958840287584054,-0.9897041705275021,0.3857781866116348,-0.4062837018316942,0.7145549121303183,0.8111770825839816,-0.13961078244856912,0.09705791704236091,-1.4293564044051235,0.22795899762895827,-0.4557940876468195,-0.2051381743364294,0.436077436628498,0.45772716485350246
2021-03-17,1.669152730852255,1.7082086301993675,1.62279708206237,1.7573930937918831,2.048226756996012,0.7720300075063024,0.4488350952355612,0.12126939564411106,0.3385297288286897,1.1760136510552481,-0.21880684856197874,0.7524503370431851,0.5949831099643089,0.3553612783346166,0.8340595008509251,0.43121973421885534,1.1051895213878087,0.45084206028563145,0.9474673168155443,-0.1262301296513319,-0.045374137641882605,-0.4861276134231949,-0.03931393548632525,-0.31527838365449257,1.0336785446599812,0.07631027863983535,0.6024342624047385,0.27501337381780255,-0.10027132975769756,-0.04921938082048679
2021-03-18,1.7620309173892719,1.7586127246787318,1.6101574678118011,1.7119923350906578,1.8263303226733973,0.8221374980249448,0.3861227428157302,-0.13323371491269415,0.35221501470418853,1.1617157255105561,-0.23791892616998744,0.7318183445243311,0.5414190987692293,0.36057131790568775,0.8815366414495572,0.9506408367706579,0.5424191618958413,-0.20049730674876692,-0.5335529433827987,-0.3406353762355504,0.4591393051735462,-2.3417884498637798,-1.1902635409154214,0.3751313398894483,-0.24411877840026275,-1.914819715626755,-0.5399793403526885,-1.628720095343722,0.07399372719800118,0.9204445333736276
2021-03-19,1.7151869422269037,1.7314472350714651,1.7199926694183807,1.7338736904674024,1.4977266800803126,0.6550613163987424,0.378116802465041,-0.054669786464739585,0.3755312942181302,1.1701644433491072,-0.23411191511478205,0.700233536602694,0.5392642503798555,0.32061183332154347,0.8148627781811935,-0.5484996994511931,-0.3788718609413174,1.1765499206939676,0.17486772015237811,-0.45629517927671054,-1.581459359135878,-0.3529561445227933,0.41269847287129935,0.6584233048992514,0.12530924152843595,0.31162663160676823,-0.8137955175538646,-0.10077990166987957,-0.7404061748502955,-1.3466612543363514
2021-03-20,1.7368343466829195,1.7548771607218252,1.7921213848502837,1.7323928404451092,1.5615503868775011,0.6550613163987424,0.378116802465041,-0.054669786464739585,0.3755312942181302,1.1701644433491072,-0.23411191511478205,0.700233536602694,0.5392642503798555,0.32061183332154347,0.8148627781811935,0.17311042371214777,0.2174052602731981,0.7181379688122423,-0.07387031927554227,-0.08010163266064027,-0.013496175326321913,-0.05013319442247785,0.012834432916343235,-0.030477207921904156,-0.012136516650380635,-0.07307922136197087,-0.031023819783486613,-0.03573495620949971,-0.02001484435230962,-0.028023770006992858
